density,chlorides,volatileacidity,quality
0.9961,0.068,0.62,6
0.9961,0.08,0.38,5
0.9958,0.085,0.5,5
0.9961,0.08,0.38,5
0.9972,0.087,0.52,6
0.9969,0.068,0.805,5
0.9969,0.067,0.61,5
0.9969,0.067,0.61,5
0.9972,0.27,0.61,5
0.9972,0.076,0.73,5
0.9971,0.077,0.61,5
0.997,0.079,0.62,6
0.9971,0.111,0.31,5
0.9972,0.082,0.39,5
0.9976,0.084,0.705,5
0.9968,0.084,0.5,5
0.9968,0.082,0.49,5
0.9976,0.077,0.5,5
0.9974,0.074,0.37,6
0.9969,0.099,0.63,5
0.9964,0.071,0.55,5
0.9964,0.071,0.55,5
0.9968,0.074,0.59,5
0.9968,0.074,0.58,5
0.9981,0.067,0.3,6
0.9924,0.046,0.835,7
0.9948,0.061,1.09,4
0.99695,0.056,0.32,7
0.9975,0.097,0.37,5
0.99545,0.075,0.5,5
0.9961,0.088,0.42,5
0.99615,0.089,0.43,6
0.9994,0.095,0.3,7
0.9994,0.095,0.3,7
0.99625,0.069,0.57,5
0.9966,0.1,0.44,5
0.998,0.054,0.3,7
0.99585,0.039,0.53,6
0.99685,0.083,0.725,6
0.998,0.059,0.44,6
0.9959,0.06,0.57,5
0.9974,0.092,0.735,6
0.9974,0.06,0.49,5
0.9962,0.101,0.625,5
0.9967,0.072,0.725,5
0.9957,0.076,0.49,5
0.99655,0.08,0.53,5
0.9964,0.082,0.34,6
0.9957,0.101,0.53,5
0.99525,0.057,0.61,5
0.99815,0.083,0.645,6
0.99745,0.089,0.635,4
0.99615,0.073,0.43,6
0.9964,0.337,0.59,6
0.9984,0.089,0.82,5
0.99615,0.073,0.43,6
0.99685,0.081,0.52,5
0.9927,0.054,0.48,7
0.99625,0.078,0.38,6
0.998,0.09,0.37,6
0.99685,0.081,0.52,5
0.99685,0.065,1,6
0.99675,0.097,0.63,6
0.99675,0.097,0.63,6
0.99675,0.097,0.645,6
0.99675,0.097,0.63,6
0.99685,0.065,1,6
0.9971,0.263,0.635,5
0.99925,0.093,0.38,6
0.99565,0.102,0.58,6
1.00005,0.075,0.21,7
1.00005,0.075,0.21,7
0.9983,0.084,0.66,6
0.99685,0.075,0.68,5
0.9963,0.072,0.6,5
0.99615,0.074,0.53,6
0.9983,0.084,0.66,6
0.9985,0.063,0.32,6
0.9972,0.074,0.6,6
0.9986,0.09,0.35,5
0.9959,0.092,0.775,5
0.9972,0.074,0.6,6
0.99675,0.073,0.57,5
0.998,0.075,0.34,5
0.9968,0.075,0.695,5
0.9968,0.611,0.41,5
0.99965,0.085,0.31,7
0.99625,0.077,0.33,5
0.99565,0.087,0.975,4
0.99575,0.07,0.52,5
0.9963,0.077,0.37,5
0.9999,0.064,0.56,5
0.9968,0.071,0.26,7
1.00025,0.096,0.87,4
0.9973,0.078,0.35,8
0.9987,0.077,0.54,6
0.9996,0.104,0.18,6
0.9965,0.087,0.545,6
0.9996,0.104,0.18,6
0.99935,0.071,0.37,5
0.99735,0.076,0.715,5
0.99915,0.088,0.65,5
0.9965,0.087,0.545,6
0.9987,0.077,0.54,6
0.9996,0.104,0.18,6
0.9976,0.073,0.32,8
0.9991,0.087,0.4,7
0.9986,0.071,0.26,6
0.9972,0.358,0.27,7
0.9971,0.067,0.52,5
0.9991,0.087,0.4,7
1.00015,0.102,0.59,5
1.00015,0.102,0.59,5
0.9997,0.073,0.45,6
0.9967,0.092,0.4,6
0.9976,0.091,0.52,7
1.001,0.105,0.42,5
0.9976,0.091,0.52,7
0.9979,0.343,0.2,5
0.9994,0.091,0.55,6
0.9964,0.098,0.36,6
1.0014,0.094,0.34,6
1.0001,0.073,0.5,5
0.9981,0.086,0.83,5
0.99855,0.083,0.63,5
0.9993,0.094,0.65,5
0.99845,0.08,0.67,5
0.9965,0.086,0.53,6
0.9973,0.068,0.18,6
0.9994,0.092,0.705,5
0.996,0.186,0.67,5
0.9973,0.112,0.65,5
0.9998,0.063,0.53,6
0.9966,0.082,0.62,5
0.9994,0.213,0.41,6
0.9994,0.214,0.43,6
0.9968,0.062,0.29,6
0.9998,0.063,0.53,6
0.996,0.072,0.53,6
0.99815,0.093,0.46,6
0.9976,0.076,0.47,5
0.99645,0.087,0.36,5
0.9962,0.096,0.35,6
0.9996,0.102,0.56,5
0.99865,0.082,0.77,6
0.9989,0.083,0.66,7
0.99865,0.082,0.77,6
0.9989,0.083,0.66,7
0.99975,0.09,0.61,5
0.99735,0.079,0.62,5
0.999,0.09,0.59,6
1.0015,0.071,0.49,6
1.0015,0.071,0.49,6
0.9978,0.121,0.53,7
0.998,0.107,0.44,5
1.0002,0.082,0.27,6
0.9981,0.061,0.46,5
0.998,0.122,0.36,6
0.998,0.122,0.36,6
0.9973,0.066,0.58,6
0.9958,0.105,0.56,5
0.9963,0.078,0.65,7
0.9992,0.128,0.695,7
0.9948,0.052,0.43,6
0.9974,0.08,0.43,5
1.0008,0.103,0.49,6
0.9997,0.082,0.28,7
1,0.066,0.34,6
0.9972,0.065,0.42,6
0.9982,0.118,0.39,6
0.9982,0.118,0.39,6
1.0006,0.082,0.57,6
0.9979,0.067,0.685,5
0.9955,0.072,0.815,7
0.9986,0.093,0.49,6
0.9979,0.089,0.56,6
0.9994,0.093,0.785,6
1.0004,0.107,0.67,6
0.9994,0.096,0.795,6
0.9974,0.09,0.665,5
1.0018,0.12,0.53,5
0.9912,0.066,0.21,6
0.9955,0.078,0.75,6
1.0001,0.08,0.41,5
0.997,0.116,0.42,7
1,0.109,0.43,7
1.001,0.088,0.38,6
0.9973,0.099,0.7,5
0.9982,0.086,0.45,6
0.9992,0.072,0.58,5
0.9988,0.071,0.46,5
1.0022,0.083,0.615,7
0.9979,0.107,0.42,6
1.0022,0.083,0.615,7
1,0.076,0.575,5
0.9998,0.159,0.34,5
0.9962,0.074,0.27,7
0.9975,0.063,0.765,5
0.9967,0.056,0.24,6
0.9967,0.067,0.28,6
0.9959,0.106,0.55,5
1.0014,0.089,0.41,6
0.9984,0.124,0.54,7
1.0003,0.078,0.45,6
0.9962,0.074,0.27,7
0.9988,0.088,0.625,6
0.9979,0.094,0.42,6
0.9974,0.08,0.26,6
1.0014,0.085,0.415,6
0.9974,0.08,0.26,6
0.9974,0.08,0.26,6
0.998,0.087,0.51,5
0.9979,0.09,0.63,6
0.9981,0.088,0.54,6
0.9972,0.079,0.66,6
0.9981,0.088,0.46,6
0.9982,0.096,0.38,7
0.9924,0.045,0.85,8
1.0014,0.085,0.415,6
0.998,0.082,0.37,5
0.997,0.112,0.665,5
0.9997,0.063,0.6,5
1.0004,0.066,0.37,7
0.9994,0.122,0.735,5
0.9988,0.087,0.59,6
0.9988,0.087,0.59,6
0.9963,0.064,0.765,5
0.9994,0.122,0.735,5
0.9949,0.059,0.26,6
1,0.085,0.48,6
0.9994,0.085,0.6,6
0.9974,0.075,0.69,5
0.9966,0.059,0.31,6
0.9981,0.063,0.44,6
0.9996,0.093,0.39,7
0.997,0.174,0.34,6
0.9981,0.07,0.46,4
0.9987,0.08,0.43,6
0.9987,0.08,0.45,5
0.9966,0.1,0.735,5
0.9986,0.097,0.4,7
0.9982,0.087,0.52,5
1.0014,0.117,0.725,5
0.997,0.111,0.48,6
0.9956,0.091,0.58,5
0.9996,0.121,0.38,6
0.9976,0.066,0.77,5
0.9972,0.089,0.56,7
0.9952,0.059,0.84,7
0.9955,0.047,0.96,5
0.9978,0.066,0.24,7
0.9955,0.047,0.96,5
0.9952,0.059,0.84,7
0.9949,0.045,0.67,6
0.9988,0.077,0.78,6
0.9978,0.07,0.52,5
0.9997,0.088,0.84,6
0.9978,0.066,0.24,7
0.9974,0.074,0.55,5
0.9958,0.078,0.37,6
1.0004,0.091,0.39,5
0.9996,0.076,0.41,6
1.0004,0.091,0.39,5
0.9958,0.06,0.67,6
0.9986,0.066,0.45,6
0.9996,0.076,0.41,6
0.9951,0.062,0.62,5
0.9987,0.072,0.31,8
0.9988,0.068,0.4,6
1.0032,0.1,0.685,7
0.9963,0.077,0.44,7
0.9934,0.054,0.57,7
0.9986,0.079,0.735,6
0.9996,0.081,0.38,5
0.9968,0.127,0.48,5
0.9967,0.1,0.53,6
0.9994,0.095,0.39,6
0.9994,0.095,0.39,6
0.9979,0.413,0.37,6
0.9968,0.084,0.56,6
0.9998,0.084,0.33,7
0.9952,0.063,0.23,5
0.9988,0.086,0.62,8
0.9986,0.095,0.59,5
0.9988,0.097,0.63,5
0.9998,0.084,0.33,7
1.0008,0.074,0.58,3
0.9976,0.083,0.43,6
0.9982,0.087,0.615,5
0.997,0.085,0.26,5
0.9972,0.098,0.66,5
0.9987,0.084,0.315,6
1.0006,0.098,0.29,5
0.9982,0.069,0.5,6
0.9947,0.065,0.46,6
1,0.09,0.36,6
0.9952,0.07,0.82,5
0.9996,0.093,0.32,5
0.997,0.081,0.54,6
0.9995,0.083,0.37,6
0.9971,0.062,0.35,5
0.9982,0.08,0.28,6
0.9988,0.087,0.68,5
0.998,0.091,0.27,5
0.9977,0.075,0.24,6
0.9988,0.087,0.68,5
0.9984,0.077,0.685,6
1.0026,0.069,0.28,5
0.9964,0.08,0.3,8
0.9986,0.152,0.36,5
0.9986,0.152,0.36,5
0.997,0.114,0.44,6
0.9976,0.054,0.67,5
0.9976,0.054,0.67,5
0.9982,0.053,0.645,6
1.0002,0.081,0.32,7
0.9984,0.073,0.39,6
0.9984,0.078,0.775,6
0.9952,0.055,0.41,7
0.995,0.052,0.4,7
1.0002,0.086,0.69,6
0.9952,0.051,0.39,6
0.9972,0.07,0.35,8
0.9984,0.081,0.52,6
0.9966,0.09,0.34,5
0.9972,0.07,0.35,8
1.0002,0.086,0.69,6
0.9984,0.081,0.52,6
0.999,0.074,0.44,7
0.999,0.074,0.44,7
0.9976,0.078,0.26,7
0.9976,0.077,0.24,7
0.9968,0.072,0.49,7
0.9976,0.075,0.24,7
1,0.084,0.67,6
0.9994,0.09,0.59,6
0.9986,0.084,0.29,7
0.9978,0.073,0.42,5
0.9994,0.09,0.59,6
0.998,0.125,0.4,6
0.9973,0.107,0.51,7
0.9973,0.107,0.51,7
1.001,0.122,0.655,5
1.001,0.1,0.6,6
0.9994,0.2,0.61,3
0.9972,0.088,0.21,6
0.9966,0.088,0.365,5
0.9982,0.088,0.25,6
0.998,0.088,0.41,5
0.9979,0.099,0.39,5
0.9978,0.085,0.4,5
0.9976,0.086,0.43,5
0.9998,0.105,0.64,5
0.9966,0.088,0.365,5
0.9962,0.097,0.38,6
0.9988,0.084,0.42,6
0.9974,0.077,0.63,5
0.999,0.078,0.22,6
1.0004,0.098,0.38,5
1.0004,0.098,0.38,5
0.9956,0.072,0.27,6
1,0.102,0.48,6
0.999,0.078,0.22,6
0.9974,0.077,0.63,5
0.9972,0.084,0.825,6
1.0014,0.066,0.35,7
0.9996,0.1,0.5,5
0.9988,0.101,0.59,5
0.9988,0.064,0.46,6
0.9966,0.07,0.715,5
0.9993,0.085,0.66,6
1.0008,0.075,0.31,6
0.9982,0.094,0.47,5
0.9983,0.078,0.55,6
0.9987,0.067,0.31,6
0.9994,0.079,0.35,6
0.9975,0.171,0.53,6
0.9958,0.074,0.51,6
0.998,0.092,0.43,6
0.998,0.092,0.46,6
0.9934,0.05,1.04,5
1.00315,0.095,0.645,5
1.00315,0.095,0.645,5
1.0002,0.118,0.53,6
1.00315,0.095,0.645,5
1.0002,0.118,0.53,6
1.0021,0.085,0.47,6
0.9994,0.075,0.6,5
0.9978,0.078,0.44,5
0.9982,0.094,0.54,5
0.9971,0.092,0.29,6
1.0021,0.085,0.47,6
0.9994,0.075,0.6,5
0.9991,0.226,0.7,6
0.9991,0.226,0.7,6
0.999,0.25,0.5,6
0.9946,0.095,0.36,6
1.0003,0.07,0.35,6
0.9946,0.095,0.36,6
0.9978,0.075,0.24,5
0.9991,0.07,0.59,4
0.9992,0.078,0.34,6
0.9993,0.079,0.27,6
0.9978,0.103,0.5,4
0.9982,0.083,0.44,5
0.9982,0.085,0.47,5
0.9976,0.063,0.31,6
1.0002,0.089,0.5,5
1.0002,0.089,0.5,5
1,0.083,0.49,5
0.9976,0.074,0.28,7
1.0002,0.093,0.33,7
0.998,0.091,0.51,6
0.9986,0.094,0.31,7
0.9967,0.108,0.73,5
0.9917,0.06,0.42,8
0.9976,0.059,0.29,7
0.9987,0.084,0.45,5
0.9922,0.07,0.39,6
0.9987,0.084,0.45,5
1.0004,0.094,0.49,5
0.9978,0.096,0.72,5
0.9998,0.086,0.595,5
0.9994,0.059,0.4,6
0.998,0.071,0.58,6
0.9967,0.078,0.585,6
1,0.082,0.59,6
0.9962,0.088,0.915,4
1.0006,0.071,0.46,6
0.9975,0.081,0.835,5
1.0006,0.071,0.46,6
0.9984,0.096,0.58,6
0.9984,0.085,0.6,6
0.9973,0.072,0.41,7
0.9982,0.092,0.48,6
1.0026,0.11,0.65,6
0.9956,0.075,0.36,6
0.9983,0.083,0.24,5
1.0006,0.081,0.38,5
0.9965,0.077,0.64,6
0.9962,0.058,0.39,5
0.9969,0.148,0.755,6
0.9997,0.079,0.6,5
0.9997,0.079,0.6,5
0.9982,0.079,0.31,6
1.0006,0.122,0.46,5
0.9988,0.088,0.37,5
0.9976,0.076,0.54,5
0.9976,0.078,0.56,5
0.9974,0.08,0.58,5
0.9974,0.077,0.51,6
0.9997,0.124,0.69,5
0.9997,0.124,0.69,5
0.9988,0.098,0.6,5
0.9988,0.098,0.6,5
0.9976,0.097,0.54,6
0.9964,0.111,0.685,5
0.9976,0.097,0.54,6
0.9988,0.105,0.28,5
0.9964,0.087,0.41,6
1.001,0.105,0.935,4
0.9964,0.073,0.35,5
0.9954,0.065,0.84,5
0.9979,0.086,0.88,5
0.9978,0.084,0.885,5
0.9964,0.143,0.915,7
0.997,0.067,0.29,6
0.9991,0.071,0.54,5
0.9992,0.071,0.59,5
0.9991,0.071,0.54,5
0.9992,0.071,0.59,5
0.9991,0.071,0.54,5
0.9984,0.115,0.64,7
0.9972,0.107,0.67,5
0.9967,0.07,0.845,4
0.9964,0.066,0.48,7
0.9948,0.068,0.42,6
0.9986,0.106,0.43,5
1.001,0.104,0.88,5
0.9976,0.096,0.36,5
0.9976,0.079,0.33,6
0.9979,0.074,0.47,5
1.0004,0.087,0.55,5
0.9986,0.106,0.43,5
0.998,0.073,0.5,7
0.9973,0.074,0.52,6
0.997,0.096,0.84,4
0.9973,0.074,0.52,6
0.9978,0.08,0.42,5
0.9972,0.076,0.57,6
0.9974,0.05,0.28,6
1,0.092,0.4,5
0.9981,0.084,0.59,5
0.998,0.222,0.49,6
0.9988,0.082,0.34,6
0.9966,0.059,0.73,5
0.9988,0.082,0.34,6
0.9959,0.083,0.4,5
0.9968,0.074,0.73,5
0.998,0.079,1.24,5
0.9968,0.074,0.73,5
0.9984,0.084,0.4,6
0.9984,0.064,0.41,5
0.9984,0.084,0.4,6
0.9979,0.084,0.8,5
0.9983,0.081,0.78,5
0.9972,0.06,0.26,5
1.0004,0.07,0.43,5
0.9962,0.094,0.45,6
0.998,0.078,0.46,5
0.997,0.059,0.78,5
0.998,0.078,0.98,5
0.997,0.059,0.78,5
0.997,0.07,0.65,5
0.9998,0.095,0.64,5
0.9962,0.039,0.66,5
0.9976,0.157,0.38,5
0.9966,0.097,1.185,3
0.9998,0.087,0.92,5
0.9979,0.422,0.49,5
0.9984,0.084,0.48,5
0.9984,0.084,0.47,5
0.9921,0.034,0.47,6
0.9972,0.066,0.65,6
0.9972,0.066,0.65,6
1.0001,0.087,0.615,5
0.9986,0.071,0.38,6
0.9984,0.076,1.02,6
0.9972,0.066,0.65,6
0.997,0.067,0.64,6
0.9972,0.073,0.38,4
0.998,0.078,0.765,4
0.999,0.073,1.035,5
0.9956,0.093,0.78,5
0.9966,0.077,0.49,5
0.996,0.068,0.545,6
0.9983,0.062,0.31,6
0.9985,0.08,1.025,5
0.9998,0.093,0.565,5
0.9992,0.084,0.69,5
0.9976,0.075,0.43,5
0.998,0.078,0.74,5
0.9967,0.069,0.49,6
0.9976,0.075,0.43,5
0.9968,0.079,0.46,5
0.9976,0.082,0.56,5
0.9976,0.086,0.66,5
0.9976,0.082,0.56,5
0.9982,0.094,0.48,5
0.9968,0.084,0.42,5
0.9965,0.053,0.31,5
0.9958,0.086,1.115,4
0.9976,0.077,0.66,5
0.9994,0.084,0.72,6
0.997,0.067,0.57,5
0.997,0.067,0.57,5
0.995,0.071,0.865,6
0.9982,0.387,0.55,5
0.9994,0.088,0.875,5
0.9966,0.092,0.835,5
0.998,0.082,0.45,5
0.9987,0.075,0.56,5
0.9963,0.112,0.965,5
0.9963,0.112,0.965,5
1.0002,0.093,0.59,6
0.9983,0.092,0.46,5
0.999,0.088,0.69,5
0.9965,0.075,0.76,6
0.99788,0.078,0.53,5
0.9972,0.065,0.615,5
1.00024,0.096,0.41,5
1.0001,0.095,0.39,5
0.99768,0.07,0.51,6
0.9978,0.08,0.34,6
0.99782,0.083,0.33,5
0.99761,0.071,0.5,6
0.99768,0.07,0.51,6
0.99803,0.089,0.65,5
0.99803,0.089,0.65,5
0.99785,0.097,0.54,5
0.99803,0.089,0.65,5
0.99656,0.415,0.48,6
0.99525,0.058,0.91,6
0.99488,0.057,0.98,6
0.99656,0.084,0.87,5
0.99656,0.084,0.87,5
0.99823,0.092,0.42,5
0.99779,0.075,0.58,5
0.99738,0.096,0.655,5
0.99701,0.069,0.7,6
0.99738,0.096,0.655,5
0.99888,0.093,0.68,6
0.99888,0.091,0.67,6
0.99738,0.089,0.59,5
0.99938,0.103,0.6,5
0.99744,0.082,0.59,6
0.99668,0.076,0.72,5
0.99744,0.082,0.59,6
0.9978,0.082,0.685,5
0.99782,0.082,0.57,5
0.9973,0.157,0.4,6
0.99727,0.157,0.4,6
0.99586,0.102,1,5
0.99612,0.243,0.765,6
0.9961,0.241,0.635,6
0.99788,0.079,0.43,5
0.99745,0.076,0.52,5
0.99676,0.19,0.57,6
0.99732,0.114,0.46,5
0.99814,0.081,0.82,5
0.99732,0.114,0.46,5
0.99746,0.077,0.59,5
0.9982,0.083,0.35,5
0.9982,0.083,0.35,5
0.9991,0.079,0.56,6
0.9991,0.079,0.56,6
0.998,0.099,0.63,5
0.99708,0.082,0.37,6
0.99818,0.084,0.64,5
0.99745,0.081,0.61,6
0.99639,0.055,0.6,5
0.99531,0.065,0.27,6
0.99786,0.132,0.89,5
0.99746,0.126,0.46,5
0.99526,0.038,0.37,7
0.9987,0.082,0.5,6
0.9987,0.082,0.5,6
0.99641,0.082,0.61,5
0.99735,0.068,0.55,5
0.99264,0.044,0.585,7
0.9971,0.114,0.56,6
0.99682,0.084,0.52,6
0.99356,0.052,0.28,7
0.99386,0.041,0.25,7
0.99356,0.052,0.28,7
0.99702,0.165,0.53,5
0.99693,0.07,0.48,6
0.99562,0.068,0.49,5
1.00012,0.072,0.5,6
0.99818,0.099,0.45,5
0.99462,0.102,0.39,4
0.99939,0.103,0.41,6
0.99818,0.099,0.45,5
0.9984,0.081,0.51,6
0.99545,0.084,0.29,6
0.99632,0.071,0.715,5
0.99976,0.097,0.66,5
0.99606,0.099,0.685,5
0.99154,0.048,0.42,7
0.9973,0.076,0.54,5
0.9973,0.076,0.54,5
0.99682,0.068,0.48,5
0.99624,0.076,0.46,5
0.9951,0.05,0.27,7
0.99624,0.076,0.46,5
0.99417,0.065,0.57,8
0.99376,0.071,0.61,6
0.99632,0.058,0.685,4
0.99376,0.071,0.61,6
0.99832,0.145,0.44,3
0.99836,0.147,0.47,4
0.99694,0.088,0.685,5
0.99655,0.066,0.665,5
0.99064,0.012,0.28,7
0.99064,0.012,0.28,7
0.99672,0.075,0.31,7
0.99647,0.092,0.5,5
0.99736,0.085,0.42,7
0.99629,0.115,0.66,5
0.99708,0.119,0.5,6
0.9963,0.088,0.685,5
0.9959,0.062,0.25,6
0.99689,0.081,0.64,5
0.99689,0.081,0.64,5
0.9977,0.078,0.68,6
0.99689,0.081,0.64,5
0.99689,0.08,0.63,5
0.99708,0.085,0.43,5
0.99708,0.085,0.43,5
0.99801,0.08,0.42,5
0.99652,0.08,0.36,6
0.99652,0.08,0.36,6
0.99538,0.071,0.735,7
0.99652,0.08,0.36,6
0.99594,0.073,0.26,7
0.99686,0.054,0.28,7
0.99438,0.074,0.56,6
0.99746,0.077,0.62,5
0.99357,0.039,1.01,6
0.99628,0.067,0.42,5
0.99746,0.078,0.62,5
0.99746,0.077,0.62,5
0.99748,0.077,0.635,5
0.99438,0.071,0.49,6
0.99438,0.072,0.51,6
0.99438,0.074,0.56,6
0.99578,0.08,0.63,6
0.99371,0.064,0.715,6
0.99522,0.086,0.56,5
0.99576,0.067,0.35,4
0.99552,0.067,0.21,7
0.99664,0.104,0.38,7
0.99614,0.109,0.31,7
0.99517,0.067,0.47,4
0.99371,0.064,0.715,6
0.99787,0.094,0.61,6
0.99745,0.076,0.6,5
0.99576,0.078,0.56,5
0.99533,0.068,0.715,6
0.99536,0.194,0.31,6
0.99745,0.076,0.6,5
0.99787,0.094,0.61,6
0.99824,0.086,0.75,5
0.99836,0.083,0.8,6
0.99577,0.066,0.52,7
0.99491,0.072,0.57,6
1.00289,0.112,0.9,5
0.99576,0.071,0.34,5
0.99743,0.078,0.66,5
0.99774,0.082,0.45,6
0.99743,0.078,0.66,5
0.99745,0.08,0.63,6
0.9955,0.08,0.59,6
0.99444,0.078,0.31,7
0.9955,0.08,0.59,6
0.99444,0.078,0.31,7
0.99892,0.084,1.02,3
0.99562,0.056,0.31,5
0.99736,0.08,0.635,7
0.99736,0.08,0.635,7
0.9962,0.06,0.59,7
0.9962,0.06,0.59,7
0.998,0.081,0.58,5
0.9964,0.084,0.54,5
0.9948,0.079,0.56,6
0.99528,0.078,0.52,6
0.99331,0.059,0.305,6
0.99577,0.132,0.38,6
0.99901,0.114,0.28,6
0.99674,0.065,0.46,6
0.99639,0.094,0.395,7
0.99331,0.059,0.305,6
0.99512,0.079,0.315,6
0.99395,0.161,0.715,5
0.99824,0.084,0.41,6
0.9964,0.081,0.36,6
0.99504,0.072,0.62,6
0.99786,0.091,0.41,5
0.9964,0.081,0.36,6
0.99504,0.072,0.62,6
0.99824,0.084,0.41,6
0.99516,0.055,0.47,5
0.99604,0.064,0.22,7
0.99786,0.061,0.24,6
0.99736,0.093,0.67,4
0.99516,0.055,0.47,5
0.99468,0.063,0.33,7
0.99746,0.08,0.61,5
0.99748,0.074,0.61,5
0.9971,0.078,0.4,6
0.99748,0.074,0.61,5
0.99746,0.08,0.61,5
0.99543,0.06,0.3,6
0.99543,0.06,0.3,6
0.99791,0.071,0.63,4
